2026-01-15 10:29:00,XRP/EUR,1.81,1.81,1.81,1.81,5.95,84.10,0.01,0.00,1.80,0,940.00
2026-01-15 10:29:00,ADA/EUR,0.35,0.35,0.35,0.35,403.83,82.84,0.11,0.04,0.35,0,940.00
2026-01-15 10:29:00,BNB/EUR,809.63,809.64,809.63,809.64,0.17,56.70,1.41,5.07,807.14,0,940.00
2026-01-15 10:28:00,LINK/EUR,11.99,11.99,11.99,11.99,47.41,93.44,8.63,0.00,11.95,0,940.00
2026-01-15 10:29:00,SOL/EUR,124.78,124.82,124.78,124.80,4.59,83.10,0.13,0.12,124.34,1,940.00
2026-01-15 10:30:00,XBT/EUR,83220.50,83220.50,83204.80,83212.30,0.40,81.63,1.54,2.52,82957.88,0,940.00
2026-01-15 10:30:00,SOL/EUR,124.82,124.83,124.82,124.83,0.45,82.86,0.01,0.05,124.34,1,940.00
2026-01-15 10:30:00,ETH/EUR,2876.23,2876.74,2876.22,2876.23,2.32,86.79,1.67,3.47,2859.27,0,940.00
2026-01-15 10:30:00,LINK/EUR,11.99,11.99,11.99,11.99,32.87,87.95,5.43,0.00,11.95,0,940.00
2026-01-15 10:30:00,ADA/EUR,0.35,0.35,0.35,0.35,1500.00,84.80,0.43,0.00,0.35,0,940.00
2026-01-15 10:30:00,XRP/EUR,1.81,1.81,1.81,1.81,280.33,76.49,0.26,0.15,1.80,0,940.00
2026-01-15 10:31:00,XBT/EUR,83200.00,83200.00,83180.10,83180.10,0.00,74.42,0.01,0.01,82961.11,0,1000.00
2026-01-15 10:31:00,XRP/EUR,1.81,1.81,1.81,1.81,128.13,62.20,0.11,0.05,1.80,0,1000.00
2026-01-15 10:31:00,SOL/EUR,124.77,124.77,124.77,124.77,2.44,75.95,0.13,0.00,124.35,0,1000.00
2026-01-15 10:31:00,ETH/EUR,2872.17,2873.22,2872.17,2872.82,0.72,71.00,0.49,0.56,2859.53,0,1000.00
2026-01-15 10:31:00,AVAX/EUR,12.37,12.37,12.37,12.37,0.10,58.33,0.01,0.00,12.32,0,1000.00
2026-01-15 10:31:00,DOT/EUR,1.88,1.88,1.88,1.88,0.52,72.62,0.00,0.00,1.88,0,1000.00
2026-01-15 10:32:00,ETH/EUR,2874.55,2875.83,2874.55,2875.82,0.99,75.10,0.68,0.67,2859.68,0,1000.00
2026-01-15 10:32:00,SOL/EUR,124.77,124.86,124.76,124.85,2.13,77.65,0.11,0.05,124.36,0,1000.00
2026-01-15 10:32:00,XBT/EUR,83180.00,83207.50,83160.00,83206.10,0.15,75.19,0.59,0.36,82962.60,0,1000.00
2026-01-15 10:32:00,XRP/EUR,1.81,1.81,1.81,1.81,1134.36,62.71,0.96,0.29,1.80,0,1000.00
2026-01-15 10:32:00,AVAX/EUR,12.39,12.39,12.37,12.37,414.96,58.33,14.86,0.74,12.33,0,1000.00
